id,status,type,content,result
0,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
1,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
2,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
3,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
4,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
5,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
6,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
7,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
8,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
9,pending,PATH,C:\Users\Sebastian\Desktop\Studia\Zaawansowane programowanie\ue_programowanie\res\tokyo3.jpg,
